video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
c3b8zWO3d8s,14,54.0,59.0,5.0,"Sáng tới ngày mai, diện nóng vẫn sẽ bao trùm hầu khắp khu vực miền đông của Nam Bộ,","Sáng tới ngày mai, diện nóng vẫn sẽ bao trùm hầu khắp khu vực miền đông của Nam Bộ,","Sáng tới ngày mai, diện nóng vẫn sẽ bao trùm hầu khắp khu vực miền đông của Nam Bộ,",OK,HIGH
c3b8zWO3d8s,15,59.0,63.0,4.0,"xuống tới Long An, Đồng Tháp, Vĩnh Long và Hậu Giang.","xuống tới Long An, Đồng Tháp, Vĩnh Long và Hậu Giang.","xuống tới Long An, Đồng Tháp, Vĩnh Long và Hậu Giang.",OK,HIGH
c3b8zWO3d8s,16,63.0,66.0,3.0,Nhiệt độ phổ biến ở mức 35-36 độ.,Nhiệt độ phổ biến ở mức 35-36 độ.,Nhiệt độ phổ biến ở mức 35-36 độ.,OK,HIGH
c3b8zWO3d8s,17,66.0,71.0,5.0,"Riêng với Đồng Nai, Bình Phước hay Bình Dương thì còn có thể đạt 37 độ.","Riêng với Đồng Nai, Bình Phước hay Bình Dương thì còn có thể đạt 37 độ.","Riêng với Đồng Nai, Bình Phước hay Bình Dương thì còn có thể đạt 37 độ.",OK,HIGH
c3b8zWO3d8s,18,71.0,75.0,4.0,Cuối cùng sẽ là phần sự báo thời tiết cho các thành phố trong 2 ngày cuối tuần.,Cuối cùng sẽ là phần sự báo thời tiết cho các thành phố trong 2 ngày cuối tuần.,Cuối cùng sẽ là phần sự báo thời tiết cho các thành phố trong 2 ngày cuối tuần.,OK,HIGH
c3b8zWO3d8s,19,75.0,77.0,2.0,"Tại thành phố Cần Thơ, nằm ngoài vùng nắng nóng,","Tại thành phố Cần Thơ, nằm ngoài vùng nắng nóng,","Tại thành phố Cần Thơ, nằm ngoài vùng nắng nóng,",OK,HIGH
c3b8zWO3d8s,20,77.0,80.0,3.0,nhưng với mức nhiệt 34 độ thì trời cũng khá là nóng.,nhưng với mức nhiệt 34 độ thì trời cũng khá là nóng.,nhưng với mức nhiệt 34 độ thì trời cũng khá là nóng.,OK,HIGH
c3b8zWO3d8s,21,80.0,83.0,3.0,"Tối và đêm trời dịu mát, nhiệt độ giảm xuống còn 24 độ.","Tối và đêm trời dịu mát, nhiệt độ giảm xuống còn 24 độ.","Tối và đêm trời dịu mát, nhiệt độ giảm xuống còn 24 độ.",OK,HIGH
c3b8zWO3d8s,22,84.0,86.0,2.0,"Thành phố Huế, ngày mai trời nắng 31 độ.","Thành phố Huế, ngày mai trời nắng 31 độ.","Thành phố Huế, ngày mai trời nắng 31 độ.",OK,HIGH
c3b8zWO3d8s,23,86.0,90.0,4.0,"Sáng ngày mai, chủ nhật có thể có mưa, nhiệt độ giảm xuống 29 độ.","Sáng ngày mai, chủ nhật có thể có mưa, nhiệt độ giảm xuống 29 độ.","Sáng ngày mai, chủ nhật có thể có mưa, nhiệt độ giảm xuống 29 độ.",OK,HIGH
c3b8zWO3d8s,24,92.0,95.0,3.0,"Tại thủ đô Hà Nội, đêm nay và sáng mai vẫn có mưa nhỏ, mưa phùn.","Tại thủ đô Hà Nội, đêm nay và sáng mai vẫn có mưa nhỏ, mưa phùn.","Tại thủ đô Hà Nội, đêm nay và sáng mai vẫn có mưa nhỏ, mưa phùn.",OK,HIGH
c3b8zWO3d8s,25,95.0,98.0,3.0,Ngày chủ nhật trời sẽ rét hơn khi mà có không khí lạnh về.,Ngày chủ nhật trời sẽ rét hơn khi mà có không khí lạnh về.,Ngày chủ nhật trời sẽ rét hơn khi mà có không khí lạnh về.,OK,HIGH
c3b8zWO3d8s,26,98.0,101.0,3.0,Nhiệt độ đêm nay là 17-19 độ.,Nhiệt độ đêm nay là 17-19 độ.,Nhiệt độ đêm nay là 17-19 độ.,OK,HIGH
c3b8zWO3d8s,27,110.0,114.0,4.0,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,OK,HIGH
