clip_id,original_video_id,text_refined,text_final,review_decision,quality_level,content_label,thesis_score
v000_c020,-QcoL_fU-WE,"Mưa lớn sẽ tiếp diễn đến ngày mai tại thành phố Huế, với nhiệt độ dự báo không vượt quá 26 độ.","Mưa ngập sẽ tiếp diễn đến ngày mai, với nhiệt độ dự báo không vượt quá 26 độ.",REVERT,HIGH,WEATHER_CORE,85
v000_c021,-QcoL_fU-WE,"Đêm nay, Đà Lạt có khả năng xuất hiện mưa với lượng khá, trời lạnh và nhiệt độ khoảng 17 độ.","Đà Lạt đêm nay có khả năng xuất hiện mưa với lượng khá, trời lạnh với nhiệt độ khoảng 17 độ.",REVERT,HIGH,WEATHER_CORE,90
v000_c022,-QcoL_fU-WE,"Ngày mai, mưa sẽ rào rạt vào chiều, với nhiệt độ cao nhất đạt 21 độ.","Ngày mai, mưa sẽ rồn rập về chiều, với nhiệt độ cao nhất đạt 21 độ.",REVERT,HIGH,WEATHER_CORE,85
v000_c023,-QcoL_fU-WE,"Thủ đô Hà Nội đêm nay có lúc có mưa nhỏ, làm tăng cảm giác lạnh, với nhiệt độ khoảng 20 độ.","Thủ đô Hà Nội đêm nay có lúc có mưa nhỏ, khiến cảm giác lạnh gia tăng, với nhiệt độ khoảng 20 độ.",REVERT,HIGH,WEATHER_CORE,90
v000_c024,-QcoL_fU-WE,"Ngày mai, trời nhiều mây, vẫn khá lạnh, nhiệt độ cao nhất không vượt quá 24 độ.","Ngày mai, trời nhiều mây, vẫn khá lạnh, nhiệt độ không vượt quá 24 độ.",REVERT,HIGH,WEATHER_CORE,85
v001_c000,-vm0R4bVRU8,"Diễn biến về bão số 10 cho thấy, mặc dù đã suy yếu đáng kể sau khi vào Biển Đông, nhưng theo các chuyên gia đánh giá, đây vẫn là một cơn bão phức tạp, lúc mạnh, lúc yếu.","Ngay bây giờ sẽ là diễn biến về bão số 10, mặc dù là đã suy yếu đáng kể sau khi vào Biển Đông,",REVERT,MEDIUM,WEATHER_CORE,70
v001_c001,-vm0R4bVRU8,"Theo các chuyên gia đánh giá, đây là một cơn bão phức tạp, có lúc mạnh, lúc yếu.","tuy nhiên theo các chuyên gia đánh giá, đây là một cơn bão phức tạp, lúc mạnh, lúc yếu.",REVERT,LOW,WEATHER_CORE,30
v001_c002,-vm0R4bVRU8,"Trong 24 giờ tới, bão sẽ di chuyển theo hướng Tây với tốc độ từ 15 đến 20 km/h.","Trong 24 giờ tới, dự báo là bão sẽ di chuyển từ 15 đến 20 km một giờ theo hướng Tây,",REVERT,HIGH,WEATHER_CORE,90
v001_c003,-vm0R4bVRU8,"Trong 24 giờ tới, bão sẽ di chuyển theo hướng Tây với tốc độ từ 15 đến 20 km một giờ, sau đó sẽ chuyển hướng Tây-Tây Nam và chậm lại còn 10 đến 15 km một giờ.","sau 24 giờ thì sẽ đi theo hướng Tây-Tây Nam, tốc độ chậm lại 10 đến 15 km một giờ.",REVERT,HIGH,NON_WEATHER,20
v001_c004,-vm0R4bVRU8,"Trong ngày hôm nay, cường độ bão sẽ duy trì ở mức khoảng cấp 8.",Về cường độ thì trong ngày hôm nay sẽ duy trì khoảng cấp 8.,REVERT,MEDIUM,WEATHER_CORE,70
v001_c005,-vm0R4bVRU8,"Vào ngày 4 tháng 11, khi bão di chuyển đến khu vực phía Tây Nam của huyện đảo Hoàng Sa, cường độ bão có thể mạnh lên cấp 9.","Khi đi đến khu vực phía Tây Nam của huyện đảo Hoàng Sa là ngày 4 tháng 11, bão có thể mạnh lên cấp 9,",REVERT,MEDIUM,WEATHER_CORE,75
v001_c006,-vm0R4bVRU8,Bão đã suy yếu khi áp sát bờ biển Đà Nẵng đến Phù Yên.,sau đó lại suy yếu khi áp sát bờ biển Đà Nẵng đến Phù Yên.,REVERT,LOW,WEATHER_CORE,40
v001_c007,-vm0R4bVRU8,"Dự báo bão sẽ gây ra một đợt mưa lớn cho các tỉnh thành Trung Bộ và Bắc Tây Nguyên từ ngày 4 đến ngày 7 tháng 11, với lượng mưa từ 100 đến 400 mm.",Dự báo là bão sẽ gây ra một đợt mưa lớn cho các tỉnh thành Trung Bộ và Bắc Tây Nguyên,REVERT,HIGH,WEATHER_CORE,85
v001_c008,-vm0R4bVRU8,"Từ ngày 4 đến ngày 7 tháng 11, bão số 10 dự báo sẽ gây ra một đợt mưa lớn cho các tỉnh thành Trung Bộ và Bắc Tây Nguyên, với lượng mưa từ 100 đến 400 mm.","từ ngày 4 đến ngày 7 tháng 11, với lượng mưa từ 100 đến 400 mm.",REVERT,HIGH,WEATHER_CORE,90
v001_c009,-vm0R4bVRU8,"Trước đó, khi đi qua phía Nam của đảo Luzon, Philippines, siêu bão Goni đã khiến ít nhất 10 người thiệt mạng và 3 người mất tích.","Trước đó, khi đi qua phía Nam của đảo Luzon Philippines,",REVERT,LOW,NON_WEATHER,10
v001_c010,-vm0R4bVRU8,"Siêu bão Goni đã khiến ít nhất 10 người thiệt mạng và 3 người mất tích khi đi qua phía Nam đảo Luzon, Philippines.",siêu bão Goni đã làm ít nhất 10 người thiệt mạng và 3 người mất tích.,REVERT,HIGH,WEATHER_CORE,85
v001_c011,-vm0R4bVRU8,Hiện có gần 400 người khác đang phải sơ tán.,"Ngoài ra, gần 400 người khác đang phải đi sơ tán.",REVERT,LOW,NON_WEATHER,10
v001_c012,-vm0R4bVRU8,"Hiện tại, hàng nghìn binh sĩ và cảnh sát đang trong trạng thái sẵn sàng để hỗ trợ công tác sơ tán và các nỗ lực ứng cứu.",Hiện hàng nghìn binh sĩ và cảnh sát đang được đặt trong trạng thái sẵn sàng,REVERT,LOW,NON_WEATHER,0
v001_c013,-vm0R4bVRU8,Hiện hàng nghìn binh sĩ và cảnh sát đang trong trạng thái sẵn sàng để hỗ trợ công tác sơ tán và các nỗ lực ứng cứu.,để hỗ trợ cho công tác sơ tán và các nỗ lực ứng cứu.,REVERT,LOW,NON_WEATHER,0
v001_c014,-vm0R4bVRU8,"Bão cũng gây sạt lở ở tỉnh An Bài, khiến 300 ngôi nhà bị chôn vùi.",Bão cũng gây sạt lợi ở tỉnh An Bay khiến cho 300 ngôi nhà bị trôn vùi.,REVERT,LOW,WEATHER_CORE,40
v001_c015,-vm0R4bVRU8,"Tại vùng Bikol, nước ở các con sông đang dâng cao, gây vỡ đê và nhiều ngôi làng trong khu vực đã bị nhấn chìm.","Ở vùng Bikol thì nước ở các con sông đang dâng cao, gây vỡ đê,",REVERT,MEDIUM,WEATHER_CORE,70
v001_c016,-vm0R4bVRU8,Nhiều ngôi làng trong vùng Bikol đã bị nhấn chìm do nước ở các con sông dâng cao gây vỡ đê.,nhiều ngôi làng trong vùng đã bị nhấn chìm.,REVERT,LOW,WEATHER_CORE,20
v001_c017,-vm0R4bVRU8,"Tại một số khu vực bị ảnh hưởng, việc cắt điện đã khiến quá trình thông tin liên lạc bị gián đoạn.","Tại một số khu vực bị ảnh hưởng, điện bị cắt khiến cho quá trình thông tin liên lạc bị gián đoạn.",REVERT,LOW,NON_WEATHER,10
v001_c018,-vm0R4bVRU8,Giao thông tại một số khu vực rừng núi cũng bị ảnh hưởng do sạt lở.,"Ngoài ra, giao thông ở một số khu vực rừng núi cũng bị ảnh hưởng do sạt lợi.",REVERT,LOW,NON_WEATHER,10
v001_c019,-vm0R4bVRU8,Trận động đất mạnh xảy ra vào thứ Sáu tuần trước tại Thổ Nhĩ Kỳ đã khiến 79 người thiệt mạng.,Trận động đất mạnh hôm thứ Sáu tuần trước tại Thổ Nhĩ Kỳ đã khiến cho 79 người thiệt mạng.,REVERT,LOW,NON_WEATHER,0
v001_c020,-vm0R4bVRU8,"Tuy nhiên, rất nhiều người may mắn đã sống sót sau khi được tìm thấy từ trong đống đổ nát của các tòa nhà.",Nhưng cũng rất nhiều người may mắn sống sót sau khi được tìm thấy,REVERT,LOW,NON_WEATHER,0
v001_c021,-vm0R4bVRU8,Nhiều người may mắn đã sống sót sau khi được tìm thấy từ trong đống đổ nát của các tòa nhà.,từ trong đống đổ nát của các tòa nhà.,REVERT,LOW,NON_WEATHER,0
v001_c022,-vm0R4bVRU8,"Cậu bé ba tuổi ở thành phố Izmir đã được cứu sau 65 giờ mắc kẹt, tức là gần 3 ngày.","Ba tuổi này ở thành phố Izmir cũng đã được cứu sau 65 giờ, tức là gần 3 ngày mắc kẹt.",REVERT,LOW,NON_WEATHER,0
v001_c023,-vm0R4bVRU8,Tòa nhà nơi gia đình em Elif sinh sống đã hoàn toàn đổ sập sau trận động đất.,Tòa nhà mà gia đình em Elif ở đã đổ sập hoàn toàn sau trận động đất.,REVERT,LOW,NON_WEATHER,0
v001_c024,-vm0R4bVRU8,"May mắn là sau hơn 2 ngày, em cùng với mẹ và 3 người chị đã được đội cứu hộ đưa ra ngoài an toàn.",May mắn là sau hơn 2 ngày thì em cùng với mẹ và 3 người chị em khác,REVERT,LOW,NON_WEATHER,0
v001_c025,-vm0R4bVRU8,"Em Elif, 3 tuổi, cùng với mẹ và 3 người chị em khác đã được đội cứu hộ đưa ra ngoài một cách an toàn sau hơn 2 ngày mắc kẹt trong đống đổ nát của tòa nhà bị sập do trận động đất.",đã được đội cứu hộ đưa ra ngoài một cách an toàn.,REVERT,LOW,NON_WEATHER,0
v001_c026,-vm0R4bVRU8,"Trước đó, tại cùng địa điểm này, một bé gái 14 tuổi cũng đã sống sót sau 58 giờ nằm trong đống đổ nát.","Trước đó thì ở cùng địa điểm này, một bé gái 14 tuổi cũng đã sống sót",REVERT,LOW,NON_WEATHER,0
v001_c027,-vm0R4bVRU8,Một bé gái 14 tuổi đã sống sót sau 58 giờ nằm trong đống đổ nát.,sau 58 giờ nằm trong đống đổ nát.,REVERT,LOW,NON_WEATHER,0
v001_c028,-vm0R4bVRU8,"Hôm nay, thời tiết tại khu vực Rào Trăng 3, tỉnh Thừa Thiên Huế tiếp tục nắng, do đó lực lượng cứu hộ đang tiếp tục tìm kiếm các công nhân còn mất tích.",Hôm nay thời tiết tại khu vực Rào Trăng 3 của tỉnh Thừa Thiên Huế tiếp tục có nắng,REVERT,HIGH,WEATHER_CORE,90
v001_c029,-vm0R4bVRU8,"Lực lượng cứu hộ cứu nạn đang tiếp tục tìm kiếm các công nhân còn mất tích tại khu vực Rào Trăng 3, tỉnh Thừa Thiên Huế.",do đó mà lực lượng cứu hộ cứu nạn đang tiếp tục tìm kiếm các công nhân còn mất tích.,REVERT,LOW,NON_WEATHER,0
v001_c030,-vm0R4bVRU8,Phương án nắn dòng sông Rào Trăng để tìm kiếm các công nhân còn mất tích cũng đã được xem xét.,Phương án nắng dòng sông Rào Trăng để tìm kiếm cũng được tính đến.,REVERT,LOW,NON_WEATHER,10
v001_c031,-vm0R4bVRU8,Các lực lượng cứu nạn tiếp tục chia thành 2 tổ để tìm kiếm dọc bờ suối và khu vực dưới chân núi.,Các lực lượng cứu nạn tiếp tục chia ra 2 tốt để tìm kiếm dọc bên bờ suối,REVERT,LOW,NON_WEATHER,0
v001_c032,-vm0R4bVRU8,Các lực lượng cứu nạn tiếp tục chia thành 2 tổ để tìm kiếm dọc bên bờ suối và khu vực dưới chân núi.,và khu vực dưới chân núi.,REVERT,LOW,NON_WEATHER,10
v001_c033,-vm0R4bVRU8,"Mọi công tác tìm kiếm đang được các lực lượng thực hiện một cách khẩn trương nhất để tận dụng thời tiết nắng giáo, chạy đua với thời gian trước khi bão số 10 có thể đổ bộ.",Mọi công tác tìm kiếm đang được các lực lượng thực hiện một cách khẩn trương nhất,REVERT,LOW,NON_WEATHER,0
v001_c034,-vm0R4bVRU8,"Mọi công tác tìm kiếm đang được các lực lượng thực hiện một cách khẩn trương, tận dụng thời tiết nắng đẹp để chạy đua với thời gian trước khi bão số 10 có thể đổ bộ.",tận dụ thời tiết nắng giáo để chạy đua với thời gian trước khi mà bão số 10 có thể đổ bộ.,REVERT,LOW,WEATHER_CORE,40
v001_c035,-vm0R4bVRU8,"Dự kiến trong ngày hôm nay, các khu vực còn lại sẽ được tiến hành đào bới.",Dự tính là trong ngày hôm nay các khu vực còn lại sẽ được đào bới.,REVERT,LOW,NON_WEATHER,0
v001_c036,-vm0R4bVRU8,"Nếu không tìm thấy các nạn nhân, công tác tìm kiếm sẽ chuyển sang giai đoạn 2, tức là tìm kiếm các tuyến bên cạnh.",Nếu như vẫn không tìm thấy các nạn nhân thì sẽ chuyển sang giai đoạn 2,REVERT,LOW,NON_WEATHER,0
v001_c037,-vm0R4bVRU8,"Nếu không tìm thấy các nạn nhân, công tác tìm kiếm sẽ chuyển sang giai đoạn 2 là tìm kiếm các tuyến bên cạnh.",là tìm kiếm các tuyến bên cạnh.,REVERT,LOW,NON_WEATHER,0
v001_c038,-vm0R4bVRU8,"Nếu vẫn không tìm thấy các nạn nhân, công tác tìm kiếm sẽ chuyển sang giai đoạn 3, đó là nắn dòng sông Rào Trăng để tìm dưới lòng suối nếu điều kiện cho phép.",Trường hợp vẫn không tìm thấy thì sẽ tiếp tục chuyển sang giai đoạn 3,REVERT,LOW,NON_WEATHER,0
v001_c039,-vm0R4bVRU8,"Nếu thuận lợi, sẽ nắn dòng sông Rào Trăng để tìm kiếm dưới lòng suối.",là nắn dòng sông Rào Trăng để tìm dưới lòng suối nếu thuận lợi.,REVERT,LOW,NON_WEATHER,0
v001_c040,-vm0R4bVRU8,"Đến nay, vẫn còn 12 công nhân mất tích tại khu vực sạt lở này.",Đến nay vẫn còn 12 công nhân mất tích tại khu vực sạt lở này.,REVERT,LOW,NON_WEATHER,0
v001_c041,-vm0R4bVRU8,"Hiện tại, tại tỉnh Quảng Nam, ở những nơi đã xảy ra sạt lở đất, vẫn còn nhiều người mất tích chưa được tìm thấy, và công tác cứu hộ đang được khẩn trương tiến hành trước khi bão số 10 đổ bộ.",Trong lúc này ở tỉnh Quảng Nam tại những nơi đã xảy ra sạt lở đất,REVERT,LOW,WEATHER_CORE,40
v001_c042,-vm0R4bVRU8,Hiện vẫn còn những người mất tích tại tỉnh Quảng Nam chưa được tìm thấy.,và vẫn còn những người mất tích chưa được tìm thấy.,REVERT,LOW,NON_WEATHER,0
v001_c043,-vm0R4bVRU8,Công tác cứu hộ đang được khẩn trương tiến hành tại tỉnh Quảng Nam trước khi bão số 10 đổ bộ.,Công tác cứu hộ cũng đang được khẩn trương tiến hành trước khi mà bão số 10 tiến vào.,REVERT,MEDIUM,WEATHER_CORE,60
v001_c044,-vm0R4bVRU8,"Tại huyện Nam Trà My, hiện vẫn còn 15 người mất tích.",Ở huyện Nam Trà My thì vẫn còn 15 người mất tích.,REVERT,LOW,NON_WEATHER,0
v001_c045,-vm0R4bVRU8,"Tại huyện Phước Sơn, hiện vẫn còn 5 người mất tích.",Ở huyện Phước Sơn lân cận là 5 người.,REVERT,LOW,NON_WEATHER,0
v001_c046,-vm0R4bVRU8,"Đường bộ vào hai xã của huyện Phước Sơn vẫn chưa được thông, khiến hàng nghìn hộ dân tiếp tục bị cô lập.",Đường bộ vào 2 xã của huyện Phước Sơn thì vẫn chưa được thông.,REVERT,LOW,NON_WEATHER,10
v001_c047,-vm0R4bVRU8,Hiện vẫn còn hàng nghìn hộ dân tại huyện Phước Sơn đang tiếp tục bị cô lập.,Và ở đây còn hàng ngàn hộ dân vẫn đang tiếp tục bị cô lập.,REVERT,LOW,NON_WEATHER,0
v001_c048,-vm0R4bVRU8,Các lực lượng chức năng đang nỗ lực tìm mọi cách để nhanh chóng tiếp tế nhu yếu phẩm cho người dân tại hai xã Phước Lộc và Phước Thanh của huyện Phước Sơn.,Các lực lượng chức năng đang tìm mọi cách để nhanh chóng tiếp tế nhu yếu phẩm,REVERT,LOW,NON_WEATHER,0
v001_c049,-vm0R4bVRU8,Các lực lượng chức năng đang tìm mọi cách để nhanh chóng tiếp tế nhu yếu phẩm cho người dân hai xã Phước Lộc và Phước Thanh của huyện Phước Sơn.,cho người dân 2 xã Phước Lộc và Phước Thanh của huyện Phước Sơn.,REVERT,LOW,NON_WEATHER,10
v001_c050,-vm0R4bVRU8,"Để cập nhật tình hình, chúng tôi sẽ kết nối điện thoại với phóng viên Trọng Ý của Đài Truyền thanh - Truyền hình huyện Phước Sơn, tỉnh Quảng Nam.",Để cập nhật tình hình thì chúng tôi sẽ kết nối điện thoại với phóng viên Trọng Ý,REVERT,LOW,NON_WEATHER,0
v001_c051,-vm0R4bVRU8,"Chúng tôi sẽ kết nối điện thoại với phóng viên Trọng Ý của đài truyền thanh truyền hình huyện Phước Sơn, tỉnh Quảng Nam, để cập nhật tình hình cứu hộ cứu nạn tại khu vực này.",của đài truyền thanh truyền hình huyện Phước Sơn của tỉnh Quảng Nam.,REVERT,LOW,NON_WEATHER,0
v001_c052,-vm0R4bVRU8,Phóng viên Trọng Ý đã liên tục theo dõi thông tin về công tác cứu hộ cứu nạn tại khu vực này trong những ngày qua.,Phóng viên Trọng Ý liên tục những ngày qua đã bám sát thông tin cứu hộ cứu nạn tại khu vực này.,REVERT,LOW,NON_WEATHER,0
v001_c053,-vm0R4bVRU8,"Vâng thưa anh Trọng Ý, hiện các lực lượng bộ đội biên phòng tỉnh Quảng Nam và lực lượng chung kích tại huyện Phước Sơn đang khẩn trương triển khai các giải pháp để đưa hàng cứu trợ đến những hộ dân bị cô lập ở 2 xã Phước Lộc và Phước Thanh.","Vâng thưa anh Trọng Ý, những giải pháp nào đang được triển khai để đưa hàng cứu trợ",REVERT,LOW,NON_WEATHER,0
v001_c054,-vm0R4bVRU8,"Các lực lượng chức năng đang tìm mọi cách để nhanh chóng tiếp tế nhu yếu phẩm cho người dân ở 2 xã Phước Lộc và Phước Thanh của huyện Phước Sơn, nơi vẫn còn hàng nghìn hộ dân bị cô lập.",đến những hộ dân bị cô lập ở 2 xã Phước Lộc và Phước Thanh vậy anh?,REVERT,LOW,NON_WEATHER,0
v001_c055,-vm0R4bVRU8,"Trong hai ngày qua, các lực lượng bộ đội biên phòng tỉnh Quảng Nam và lực lượng chung kích tại huyện Phước Sơn đã khẩn trương vận chuyển lương thực thực phẩm bằng đường bộ để tiếp tế cho bà con hai xã Phước Thành và Phước Lộc.","Hai ngày qua, các lực lượng bộ đội biên phòng của tỉnh Quảng Nam và cả lực lượng chung kích",REVERT,LOW,NON_WEATHER,0
v001_c056,-vm0R4bVRU8,"Tại huyện Phước Sơn, các lực lượng chức năng đã khẩn trương tiếp tế lương thực thực phẩm bằng đường bộ cho người dân ở hai xã Phước Lộc và Phước Thanh.",tại chỗ huyện Phước Sơn đã khẳng trương đùi với lương thực thực phẩm bằng đường bộ,REVERT,LOW,NON_WEATHER,10
v001_c057,-vm0R4bVRU8,Các lực lượng bộ đội biên phòng tỉnh Quảng Nam và lực lượng chung kích tại huyện Phước Sơn đã khẩn trương vận chuyển lương thực thực phẩm bằng đường bộ để tiếp tế cho bà con 2 xã Phước Thành và Phước Lộc.,để tiếp tế cho bà con 2 xã Phước Thành và Phước Lộc.,REVERT,LOW,NON_WEATHER,0
v001_c058,-vm0R4bVRU8,"Đối với xã Phước Thành, do đường ra bị chặt lỡ quá nhiều nên việc vận chuyển lương thực đến xã phải chia thành 2 chặng mới có thể thực hiện.","Đối với xã Phước Thành, do đường ra bị chặt lỡ quá nhiều nên việc vận chuyển đến xã",REVERT,LOW,NON_WEATHER,0
v001_c059,-vm0R4bVRU8,Việc vận chuyển lương thực đến xã Phước Thành phải chia thành 2 chặng mới có thể giúp được bà con do đường ra bị chặt lỡ quá nhiều.,phải chia thành 2 chặng mới có thể đưa lương thực đến giúp bà con.,REVERT,LOW,NON_WEATHER,0
v001_c060,-vm0R4bVRU8,"Trong hôm qua và hôm nay, lực lượng chức năng đã vận chuyển được 15 tấn lương thực, bao gồm gạo và các nhu yếu phẩm, đến hai xã Phước Lộc và Phước Thanh của huyện Phước Sơn.","Trong hôm qua và hôm nay đã vận chuyển được 15 tắng lương thực, vùng có gạo và các nhu yếu phẩm.",REVERT,LOW,NON_WEATHER,0
v001_c061,-vm0R4bVRU8,"Với số lượng lương thực này, người dân có thể sử dụng trong hơn 10 ngày.","Với số lượng lương thực này, người dân có thể lợi dụng trong thời gian hơn 10 ngày.",REVERT,LOW,NON_WEATHER,0
v001_c062,-vm0R4bVRU8,"Tại xã Phước Lộc, việc vận chuyển bằng đường bộ đang gặp nhiều khó khăn hơn.","Riêng tại xã Phước Lộc, việc vận chuyển bằng đường bộ gặp nhiều khó khăn hơn.",REVERT,LOW,NON_WEATHER,0
v001_c063,-vm0R4bVRU8,"May mắn là trong 2 ngày hôm qua và hôm nay, thời tiết thuận lợi đã giúp cho việc tiếp tế lương thực cho người dân xã Phước Lộc diễn ra thuận lợi hơn.",Tuy nhiên may là 2 ngày hôm qua và hôm nay thời tiết thuận lợi,REVERT,LOW,WEATHER_SUPPORT,30
v001_c064,-vm0R4bVRU8,"Trong hai ngày qua, thời tiết thuận lợi đã giúp Sư đoàn Không quân 372 thực hiện 4 chuyến bay tiếp tế khoảng hơn 8 tấn lương thực cho bà con xã Phước Lộc.",nên đã có 4 chuyến bay của Sư đoàn Không quân 372,REVERT,LOW,NON_WEATHER,0
